A,B,B_val,C,D,E
6686,,11654,49.94,788.8,1712.9
6512.7,11347,11347,44.342,770.79,1667.4
6347.9,11053,11053,48.82,753.59,1623.4
6195,,10777,46.77,737.4,1581.6
6053.9,10519,10519,45.91,722.1,1542.3
5922.8,10275,10275,46.86,707.5,1505.2
5799.4,10046,10046,44.81,693.43,1470.2
5681.7,9826.2,9826.2,41.23,679.79,1436.7
5568.2,9614.5,9614.5,33.874,666.54,1404.4
5458,,9410.2,40.71,653.63,1373
5350.4,9234,9234,39.05,641,1342.6
5244.9,9057.4,9057.4,38.94,628.65,1312.7
5141.5,8875.4,8875.4,37.19,616.59,1286.4
5040,,8726.9,30.254,604.81,1330.9
4940.5,8741.5,8741.5,37.15,593.26,1497.5
4843.1,8613.9,8613.9,29.086,581.98,1497.1
4753.9,8354.2,8354.2,35.66,571.23,1423.7
4664.3,8197.4,8197.4,34.47,560.76,1401.6
4569.3,7950.3,7950.3,33.41,550.32,1286.7
4478,7707.7,7707.7,32.01,540.21,1195.6
4389.4,7499.2,7499.2,31.67,530.39,1126.2
4303.9,7314.6,7314.6,31.29,520.78,1079.7
4220.8,7149,7149,25.696,511.38,1046.6
4139.6,7002.2,7002.2,25.23,502.24,1031.7
4059.8,7021.8,7021.8,24.58,493.32,1238.1
3981.6,7163.1,7163.1,22.482,484.62,1462.4
3904.8,7011.4,7011.4,23.88,476.16,1360.2
3829.1,6679.7,6679.7,23.56,467.87,1170.4
3755,6434.7,6434.7,23.36,459.75,1037.7
3682.2,6211.7,6211.7,19.45,451.83,938.46
3610.8,,6045.6,21.78,444.14,888.14
3540.9,,5909.4,21.5,436.67,862.3
3472.6,,5786.1,20.82,429.43,844.03
3405.9,5666.1,5666.1,23.13,422.44,826.24
3341.1,,5549.6,21.98,415.71,809.18
3278,5430.5,5430.5,19.44,409.2,784.19
3216.7,,5313.3,23.534,402.9,763.24
3156.9,5208.3,5208.3,21.2,396.94,748.22
3098.7,,5107.3,21.01,393.8,732.66
3045.2,5012.5,5012.5,20.71,389.31,718.76
3068.6,,4996,18.12,381.81,720.12
3056,4961.3,4961.3,18.16,378.42,714.31
2956.1,4827.6,4827.6,17.56,374.04,692.1
2876.8,4718.3,4718.3,20.441,375.65,691.95
2804.2,4816.2,4816.2,18.09,382.69,919.29
